,Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date,ROI_Flag
1,TI-CMP-1001,Social Media,Tier 2 City Customers,24.0,YouTube,71795.0,2051.0,552.0,256.0,199168.0,316.36,1.46,Tamil,3.98,College Students,2024-09-11,Profit
3,TI-CMP-1003,Email,Youth,8.0,Google,31523.0,3721.0,2088.0,736.0,571872.0,161.13,3.82,Bengali,20.76,Youth,2024-07-27,Profit
4,TI-CMP-1004,Paid Ads,Premium Shoppers,15.0,"Facebook, Email, WhatsApp",61441.0,7277.0,3615.0,2602.0,1361049.625,82.07,5.37,Tamil,21.96,College Students,2024-12-19,Profit
5,TI-CMP-1005,Email,Tier 2 City Customers,6.0,"Google, Facebook",32340.0,4722.0,1102.0,698.0,185668.0,194.21,0.37,English,20.17,Tier 2 City Customers,2024-09-26,Profit
6,TI-CMP-1006,Social Media,Working Women,5.0,"Email, YouTube, WhatsApp",91729.0,12981.0,5101.5,2742.5,1361049.625,32.98,8.335,English,24.92,Premium Shoppers,2025-02-08,Profit
7,TI-CMP-1007,Social Media,Working Women,21.0,"Google, Facebook, Instagram",65005.0,7269.0,3868.0,2118.0,1230558.0,208.7,1.78,Bengali,20.39,College Students,2024-11-14,Profit
8,TI-CMP-1008,Email,Working Women,20.0,YouTube,73189.0,8370.0,3960.0,2248.0,804784.0,43.89,7.16,Hindi,19.92,College Students,2024-08-19,Profit
9,TI-CMP-1009,Influencer,College Students,30.0,"Email, WhatsApp, Facebook",45172.0,5934.0,2313.0,1432.0,890704.0,190.58,2.26,English,21.43,Youth,2024-10-13,Profit
10,TI-CMP-1010,Paid Ads,Working Women,17.0,WhatsApp,69755.0,5512.0,2113.0,1462.0,893282.0,128.34,3.76,Hindi,13.03,Working Women,2024-11-07,Profit
11,TI-CMP-1011,Paid Ads,Youth,13.0,"YouTube, Google",65072.0,3262.0,1203.0,362.0,221906.0,269.07,1.28,Hindi,7.42,Youth,2025-01-02,Profit
12,TI-CMP-1012,Influencer,Tier 2 City Customers,12.0,"YouTube, Instagram, Facebook",55636.0,3919.0,1846.0,1376.0,876512.0,122.46,4.2,Bengali,13.760886492146597,Tier 2 City Customers,2025-03-03,Profit
13,TI-CMP-1013,Social Media,Tier 2 City Customers,11.0,"WhatsApp, YouTube, Facebook",47664.0,2390.0,516.0,331.0,132069.0,351.54,0.14,Bengali,6.79,Working Women,2025-01-02,Profit
16,TI-CMP-1016,Paid Ads,Premium Shoppers,9.0,Facebook,97997.0,3919.0,2733.0,1710.0,737010.0,114.64,2.76,Tamil,9.52,Youth,2024-08-20,Profit
17,TI-CMP-1017,SEO,Working Women,7.0,Instagram,57914.0,3251.0,1316.0,621.0,344655.0,181.1,2.06,English,8.96,Youth,2025-03-14,Profit
18,TI-CMP-1018,Social Media,College Students,19.0,"Instagram, Email, Google",55714.0,7295.0,4021.0,1365.0,318045.0,71.56,2.26,Bengali,22.76,Working Women,2024-10-27,Profit
19,TI-CMP-1019,Email,College Students,30.0,"YouTube, Email, Google",66194.0,3789.0,2191.0,1039.0,322090.0,208.7,0.49,Tamil,10.6,Premium Shoppers,2024-07-31,Profit
20,TI-CMP-1020,SEO,Premium Shoppers,27.0,"Facebook, Instagram, WhatsApp",55016.23549001948,5548.0,2987.0,1006.0,602594.0,128.94,3.65,Bengali,23.99,Working Women,2024-10-08,Profit
